EVENT_WOBA,WOBA_CUMU_BAT,WOBA_CUMU_PIT,HAND_MATCH,BAT_HOME_IND,PIT_REST,DAYS_SINCE_SZN_START,IN_DIV,IN_LEAGUE,PITCH_COUNT_CUMU,FIELD_POS,OUTS_CT,ORDER_CT,BATTER_IDX
0,0.5951111111111111,0.262125,1,1,6,10,1,1,40,2,1,1,8
0,0.1766,0.23299999999999998,0,1,6,10,1,1,41,3,2,1,9
0.699,0.34476923076923077,0.27959999999999996,1,1,6,10,1,1,46,6,0,2,1
0,0.31442857142857145,0.2541818181818182,1,1,6,10,1,1,52,4,0,2,2
0,0.37348,0.23299999999999998,1,1,6,10,1,1,58,5,1,2,3
0.699,0.254,0.26884615384615385,1,1,6,10,1,1,65,7,2,2,4
0.699,0.59275,0.29957142857142854,0,1,6,10,1,1,71,8,2,2,5
1.979,0.36933333333333335,0.41153333333333336,1,1,6,10,1,1,74,10,2,2,6
0,0.3736666666666667,0.3858125,1,1,6,10,1,1,77,9,2,2,7
0,0,0,1,0,5,18,1,1,2,6,0,1,1
0,0,0,1,0,5,18,1,1,8,8,1,1,2
0,0,0,0,0,5,18,1,1,11,3,2,1,3
0.883,0.3461290322580645,0.883,0,1,5,18,1,1,4,6,0,1,1
0.883,0.41153333333333336,0.883,1,1,5,18,1,1,10,4,0,1,2
0.883,0.4336363636363636,0.883,0,1,5,18,1,1,17,8,1,1,3
1.979,0.43289655172413793,1.157,0,1,5,18,1,1,22,5,1,1,4
0.699,0.3297,1.0654,1,1,5,18,1,1,28,10,1,1,5
0,0.30777777777777776,0.8878333333333334,0,1,5,18,1,1,32,3,1,1,6
1.979,1.979,0.49475,1,0,5,18,1,1,13,5,0,1,4
0.728,0.728,0.5414,1,0,5,18,1,1,15,10,0,1,5
0.883,0.883,0.5983333333333333,1,0,5,18,1,1,18,7,0,1,6
0.883,0.883,0.639,1,0,5,18,1,1,20,9,0,1,7
0,0,0.559125,1,0,5,18,1,1,26,4,0,1,8
0,0,0.497,1,0,5,18,1,1,32,2,1,1,9
0.699,0.3495,0.5172,1,0,5,18,1,1,41,6,2,2,1
0,0,0.47018181818181815,1,0,5,18,1,1,43,8,2,2,2
0,0.2246923076923077,0.761,0,1,5,18,1,1,37,7,0,1,7
