k,c,t,alpha_line
4,1B,10,-0.47524108907565094
4,1B,11,-0.47524108907565094
4,1B,12,-0.47524108907565094
4,1B,13,-0.47524108907565094
4,1B,14,-0.47524108907565094
4,1B,15,-0.47524108907565094
4,1B,16,-0.47524108907565094
4,1B,17,-0.47524108907565094
4,1B,18,-0.47524108907565094
4,1B,19,-0.47524108907565094
4,1B,20,-0.47524108907565094
4,1B,21,-0.47524108907565094
4,1B,22,-0.47524108907565094
4,1B,23,-0.47524108907565094
4,1B,24,-0.47524108907565094
4,1B,25,-0.47524108907565094
4,1B,26,-0.47524108907565094
4,1B,27,-0.47524108907565094
5,2B,1,-0.9427095150085072
5,2B,2,-0.9427095150085072
5,2B,3,-0.9427095150085072
5,2B,4,-0.9427095150085072
5,2B,5,-0.9427095150085072
5,2B,6,-0.9427095150085072
5,2B,7,-0.9427095150085072
5,2B,8,-0.9427095150085072
5,2B,9,-0.9427095150085072
5,2B,10,-0.9427095150085072
5,2B,11,-0.9427095150085072
5,2B,12,-0.9427095150085072
5,2B,13,-0.9427095150085072
5,2B,14,-0.9427095150085072
5,2B,15,-0.9427095150085072
5,2B,16,-0.9427095150085072
5,2B,17,-0.9427095150085072
5,2B,18,-0.9427095150085072
5,2B,19,-0.9427095150085072
5,2B,20,-0.9427095150085072
5,2B,21,-0.9427095150085072
5,2B,22,-0.9427095150085072
5,2B,23,-0.9427095150085072
5,2B,24,-0.9427095150085072
5,2B,25,-0.9427095150085072
5,2B,26,-0.9427095150085072
5,2B,27,-0.9427095150085072
6,3B,1,-1.510327909464375
6,3B,2,-1.510327909464375
6,3B,3,-1.510327909464375
6,3B,4,-1.510327909464375
6,3B,5,-1.510327909464375
6,3B,6,-1.510327909464375
6,3B,7,-1.510327909464375
6,3B,8,-1.510327909464375
6,3B,9,-1.510327909464375
6,3B,10,-1.510327909464375
6,3B,11,-1.510327909464375
6,3B,12,-1.510327909464375
6,3B,13,-1.510327909464375
6,3B,14,-1.510327909464375
6,3B,15,-1.510327909464375
6,3B,16,-1.510327909464375
6,3B,17,-1.510327909464375
6,3B,18,-1.510327909464375
6,3B,19,-1.510327909464375
6,3B,20,-1.510327909464375
6,3B,21,-1.510327909464375
6,3B,22,-1.510327909464375
6,3B,23,-1.510327909464375
6,3B,24,-1.510327909464375
6,3B,25,-1.510327909464375
6,3B,26,-1.510327909464375
6,3B,27,-1.510327909464375
7,HR,1,-0.5652021872377948
7,HR,2,-0.5652021872377948
7,HR,3,-0.5652021872377948
7,HR,4,-0.5652021872377948
7,HR,5,-0.5652021872377948
7,HR,6,-0.5652021872377948
7,HR,7,-0.5652021872377948
7,HR,8,-0.5652021872377948
7,HR,9,-0.5652021872377948
7,HR,10,-0.5652021872377948
7,HR,11,-0.5652021872377948
7,HR,12,-0.5652021872377948
7,HR,13,-0.5652021872377948
7,HR,14,-0.5652021872377948
7,HR,15,-0.5652021872377948
7,HR,16,-0.5652021872377948
7,HR,17,-0.5652021872377948
7,HR,18,-0.5652021872377948
7,HR,19,-0.5652021872377948
7,HR,20,-0.5652021872377948
7,HR,21,-0.5652021872377948
7,HR,22,-0.5652021872377948
7,HR,23,-0.5652021872377948
7,HR,24,-0.5652021872377948
7,HR,25,-0.5652021872377948
7,HR,26,-0.5652021872377948
7,HR,27,-0.5652021872377948
