k,c,t,alpha_line
4,1B,9,-0.443403311976776
4,1B,10,-0.4398657811880122
4,1B,11,-0.4363282503992483
4,1B,12,-0.43279071961048443
4,1B,13,-0.42925318882172053
4,1B,14,-0.42571565803295663
4,1B,15,-0.4221781272441928
4,1B,16,-0.4186405964554289
4,1B,17,-0.415103065666665
4,1B,18,-0.41156553487790115
4,1B,19,-0.40802800408913725
4,1B,20,-0.40449047330037335
4,1B,21,-0.4009529425116095
4,1B,22,-0.3974154117228456
4,1B,23,-0.3938778809340817
4,1B,24,-0.39034035014531787
4,1B,25,-0.38680281935655403
4,1B,26,-0.38326528856779013
4,1B,27,-0.37972775777902623
5,2B,1,-0.9363613928165969
5,2B,2,-0.9300132706246866
5,2B,3,-0.9236651484327765
5,2B,4,-0.9173170262408662
5,2B,5,-0.9109689040489559
5,2B,6,-0.9046207818570456
5,2B,7,-0.8982726596651354
5,2B,8,-0.8919245374732251
5,2B,9,-0.8855764152813149
5,2B,10,-0.8792282930894046
5,2B,11,-0.8728801708974944
5,2B,12,-0.8665320487055841
5,2B,13,-0.8601839265136738
5,2B,14,-0.8538358043217635
5,2B,15,-0.8474876821298534
5,2B,16,-0.8411395599379431
5,2B,17,-0.8347914377460328
5,2B,18,-0.8284433155541225
5,2B,19,-0.8220951933622123
5,2B,20,-0.8157470711703021
5,2B,21,-0.8093989489783917
5,2B,22,-0.8030508267864815
5,2B,23,-0.7967027045945713
5,2B,24,-0.790354582402661
5,2B,25,-0.7840064602107507
5,2B,26,-0.7776583380188404
5,2B,27,-0.7713102158269303
6,3B,1,-1.4879705011556896
6,3B,2,-1.4656130928470044
6,3B,3,-1.4432556845383189
6,3B,4,-1.4208982762296336
6,3B,5,-1.3985408679209483
6,3B,6,-1.376183459612263
6,3B,7,-1.3538260513035778
6,3B,8,-1.3314686429948923
6,3B,9,-1.309111234686207
6,3B,10,-1.2867538263775218
6,3B,11,-1.2643964180688365
6,3B,12,-1.242039009760151
6,3B,13,-1.2196816014514658
6,3B,14,-1.1973241931427805
6,3B,15,-1.1749667848340952
6,3B,16,-1.15260937652541
6,3B,17,-1.1302519682167245
6,3B,18,-1.1078945599080392
6,3B,19,-1.085537151599354
6,3B,20,-1.0631797432906687
6,3B,21,-1.0408223349819834
6,3B,22,-1.018464926673298
6,3B,23,-0.9961075183646128
6,3B,24,-0.9737501100559274
6,3B,25,-0.9513927017472421
6,3B,26,-0.9290352934385567
6,3B,27,-0.9066778851298715
7,HR,1,-0.5559464080665294
7,HR,2,-0.5466906288952641
7,HR,3,-0.5374348497239987
7,HR,4,-0.5281790705527334
7,HR,5,-0.518923291381468
7,HR,6,-0.5096675122102027
7,HR,7,-0.5004117330389373
7,HR,8,-0.4911559538676719
7,HR,9,-0.48190017469640656
7,HR,10,-0.4726443955251412
7,HR,11,-0.46338861635387585
7,HR,12,-0.4541328371826105
7,HR,13,-0.44487705801134514
7,HR,14,-0.43562127884007973
7,HR,15,-0.42636549966881443
7,HR,16,-0.417109720497549
7,HR,17,-0.4078539413262837
7,HR,18,-0.3985981621550183
7,HR,19,-0.38934238298375295
7,HR,20,-0.3800866038124876
7,HR,21,-0.37083082464122225
7,HR,22,-0.3615750454699569
7,HR,23,-0.35231926629869154
7,HR,24,-0.3430634871274262
7,HR,25,-0.33380770795616077
7,HR,26,-0.32455192878489547
7,HR,27,-0.31529614961363006
