k,c,pc,alpha_line
3,HBP,24,-3.4003542464301995
3,HBP,25,-3.3976084316680586
3,HBP,26,-3.3948626169059177
3,HBP,27,-3.392116802143777
3,HBP,28,-3.389370987381636
3,HBP,29,-3.386625172619495
3,HBP,30,-3.3838793578573543
3,HBP,31,-3.3811335430952134
3,HBP,32,-3.3783877283330725
3,HBP,33,-3.3756419135709317
3,HBP,34,-3.372896098808791
3,HBP,35,-3.3701502840466495
3,HBP,36,-3.3674044692845087
3,HBP,37,-3.364658654522368
3,HBP,38,-3.361912839760227
3,HBP,39,-3.359167024998086
3,HBP,40,-3.356421210235945
3,HBP,41,-3.3536753954738043
3,HBP,42,-3.3509295807116635
3,HBP,43,-3.3481837659495226
3,HBP,44,-3.3454379511873817
3,HBP,45,-3.342692136425241
3,HBP,46,-3.3399463216631
3,HBP,47,-3.337200506900959
3,HBP,48,-3.3344546921388183
3,HBP,49,-3.331708877376677
3,HBP,50,-3.328963062614536
3,HBP,51,-3.3262172478523953
3,HBP,52,-3.3234714330902544
3,HBP,53,-3.3207256183281135
3,HBP,54,-3.3179798035659727
3,HBP,55,-3.315233988803832
3,HBP,56,-3.312488174041691
3,HBP,57,-3.30974235927955
3,HBP,58,-3.306996544517409
3,HBP,59,-3.3042507297552683
3,HBP,60,-3.3015049149931275
3,HBP,61,-3.2987591002309866
3,HBP,62,-3.2960132854688453
3,HBP,63,-3.2932674707067044
3,HBP,64,-3.2905216559445636
3,HBP,65,-3.2877758411824227
3,HBP,66,-3.285030026420282
3,HBP,67,-3.282284211658141
3,HBP,68,-3.279538396896
3,HBP,69,-3.2767925821338593
3,HBP,70,-3.2740467673717184
3,HBP,71,-3.2713009526095775
3,HBP,72,-3.2685551378474367
3,HBP,73,-3.265809323085296
3,HBP,74,-3.263063508323155
3,HBP,75,-3.260317693561014
3,HBP,76,-3.2575718787988732
3,HBP,77,-3.254826064036732
3,HBP,78,-3.252080249274591
3,HBP,79,-3.24933443451245
3,HBP,80,-3.2465886197503093
3,HBP,81,-3.2438428049881685
3,HBP,82,-3.2410969902260276
3,HBP,83,-3.2383511754638867
3,HBP,84,-3.235605360701746
3,HBP,85,-3.232859545939605
3,HBP,86,-3.230113731177464
3,HBP,87,-3.2273679164153233
3,HBP,88,-3.2246221016531824
3,HBP,89,-3.2218762868910416
3,HBP,90,-3.2191304721289002
3,HBP,91,-3.2163846573667594
3,HBP,92,-3.2136388426046185
3,HBP,93,-3.2108930278424777
3,HBP,94,-3.208147213080337
3,HBP,95,-3.205401398318196
3,HBP,96,-3.202655583556055
3,HBP,97,-3.199909768793914
3,HBP,98,-3.1971639540317733
3,HBP,99,-3.1944181392696325
3,HBP,100,-3.1916723245074916
3,HBP,101,-3.1889265097453507
3,HBP,102,-3.18618069498321
3,HBP,103,-3.1834348802210686
3,HBP,104,-3.180689065458928
3,HBP,105,-3.177943250696787
3,HBP,106,-3.175197435934646
3,HBP,107,-3.172451621172505
3,HBP,108,-3.1697058064103643
3,HBP,109,-3.1669599916482234
3,HBP,110,-3.1642141768860825
3,HBP,111,-3.1614683621239417
3,HBP,112,-3.158722547361801
3,HBP,113,-3.15597673259966
3,HBP,114,-3.153230917837519
3,HBP,115,-3.150485103075378
3,HBP,116,-3.1477392883132373
3,HBP,117,-3.1449934735510965
3,HBP,118,-3.142247658788955
3,HBP,119,-3.1395018440268143
3,HBP,120,-3.1367560292646735
3,HBP,121,-3.1340102145025326
3,HBP,122,-3.1312643997403917
3,HBP,123,-3.128518584978251
3,HBP,124,-3.12577277021611
3,HBP,125,-3.123026955453969
3,HBP,126,-3.1202811406918283
3,HBP,127,-3.1175353259296874
3,HBP,128,-3.1147895111675465
3,HBP,129,-3.1120436964054057
3,HBP,130,-3.109297881643265
3,HBP,131,-3.1065520668811235
3,HBP,132,-3.103806252118983
3,HBP,133,-3.101060437356842
3,HBP,134,-3.098314622594701
3,HBP,135,-3.09556880783256
3,HBP,136,-3.092822993070419
3,HBP,137,-3.0900771783082783
3,HBP,138,-3.0873313635461375
3,HBP,139,-3.0845855487839966
3,HBP,140,-3.0818397340218557
3,HBP,141,-3.079093919259715
3,HBP,142,-3.076348104497574
3,HBP,143,-3.073602289735433
3,HBP,144,-3.0708564749732923
3,HBP,145,-3.0681106602111514
3,HBP,146,-3.06536484544901
3,HBP,147,-3.0626190306868692
3,HBP,148,-3.0598732159247284
3,HBP,149,-3.0571274011625875
3,HBP,150,-3.0543815864004467
3,HBP,151,-3.051635771638306
3,HBP,152,-3.048889956876165
3,HBP,153,-3.046144142114024
3,HBP,154,-3.043398327351883
3,HBP,155,-3.0406525125897423
3,HBP,156,-3.0379066978276015
3,HBP,157,-3.0351608830654606
3,HBP,158,-3.0324150683033197
3,HBP,159,-3.0296692535411784
3,HBP,160,-3.026923438779038
3,HBP,161,-3.0241776240168967
3,HBP,162,-3.021431809254756
3,HBP,163,-3.018685994492615
3,HBP,164,-3.015940179730474
3,HBP,165,-3.0131943649683333
3,HBP,166,-3.0104485502061924
3,HBP,167,-3.0077027354440515
3,HBP,168,-3.0049569206819107
3,HBP,169,-3.00221110591977
3,HBP,170,-2.999465291157629
3,HBP,171,-2.996719476395488
3,HBP,172,-2.993973661633347
3,HBP,173,-2.9912278468712064
3,HBP,174,-2.988482032109065
3,HBP,175,-2.985736217346924
3,HBP,176,-2.9829904025847833
3,HBP,177,-2.9802445878226425
3,HBP,178,-2.9774987730605016
3,HBP,179,-2.9747529582983607
