"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"BATTER_IDX12",-1.68812303254913,0.166684000503259,0.325286637246264,-1.89421975736958,-1.89126790624037,-1.87387265054054,-1.65141546314767,-0.88630513292475,3.80841805420641,1.49049977032298
"BATTER_IDX13",0.00161938466368606,0.0163642841818692,0.0305965916004673,-0.0645004907591574,-0.00444819792634142,0.0177174239774002,0.0222455573080845,0.0251100333446366,3.4958442360576,1.65355494008392
"BATTER_IDX14",1.01540094087437,0.044679869516276,0.0847815159166704,0.820104539120068,0.986131688212209,1.05649782985523,1.07448944781848,1.07547960935954,3.60063055803155,1.57838415243516
"BATTER_IDX15",0.130845571442411,0.0339351824532001,0.066882855050294,0.0887934253193074,0.0915260352067541,0.0939228806818979,0.15001193770609,0.297474524598222,3.88444726920034,1.43853410937006
"BATTER_IDX16",0.396873000485275,0.00674331723300309,0.0145740569548096,0.350390389491062,0.393842171786506,0.40405469514949,0.405327605514771,0.406453057353017,4.67104167987175,1.337228365526
"ORDER_CT1",-0.801654720607278,0.281209831595958,0.441828323530068,-1.42628682160062,-1.19461254963675,-0.73538451548078,-0.428612963057603,-0.157822515091785,2.46857374329146,2.77238175381731
"ORDER_CT2",-0.788625855644745,0.260576569246683,0.410733276368438,-1.29861963260812,-1.18077992477592,-0.865436986051451,-0.403941310530729,-0.122561080351195,2.48455751852299,2.70269359578484
"ORDER_CT3",-0.776359909516008,0.24864056197291,0.411037758409052,-1.24985117871955,-1.17520905157664,-0.851404681638201,-0.380974223184097,-0.0960701869976841,2.73287318653928,2.13103948705081
"ORDER_CT4",-0.955540333003735,0.328239578176717,0.52793787014372,-1.46838734741339,-1.39864144008816,-1.22427528736531,-0.371257716676232,-0.0756769305188626,2.5869244191644,2.41111883081451
"WOBA_CUMU_BAT",1.3782813819203,0.144059801777729,0.243287004503833,0.9798234598182,1.05219082875852,1.54425187502514,1.55702588088701,1.58391897547548,2.85201756912311,1.93284073469529
"WOBA_CUMU_PIT",0.0213940168771027,0.405224910811469,0.635537479552292,-0.677047121008264,-0.547347013945676,-0.198869130164344,0.849828869244017,0.943545529981688,2.45974487233928,2.76404225503576
"HAND_MATCH",-0.00838084125359482,0.00499623345884679,0.00781696860985028,-0.0196919779448395,-0.0163944510650467,-0.00816169075075913,-0.0010023082937765,0.00280848633808611,2.44788656698231,3.40058474480938
"BAT_HOME_IND",0.0184828526334941,0.00762167685924749,0.0119627602362335,0.00390703362020099,0.00696628434258411,0.0151246258882659,0.0293880026937204,0.0388251205155233,2.46355199822983,2.79077733179899
"PIT_REST",0.105642911906714,0.0658526940648902,0.103459292862324,-0.00225991697249819,0.00253963779201928,0.0717312964677453,0.188080115550924,0.294432829820861,2.46826575443665,2.74709089655006
"DAYS_SINCE_SZN_START",0.000176388895306147,0.000101826745334325,0.000163435606033373,9.28104993332263e-06,3.41754369196232e-05,9.24199796048137e-05,0.000308809173263795,0.000467391332221639,2.57614100292593,2.45639961309712
"IN_DIV",-0.00718920846758451,0.00403108308406524,0.00640264465419253,-0.0182208815044503,-0.0131927239867315,-0.00570775192907847,-0.00137268778937341,0.00137368317022682,2.52275630105828,2.70973622554692
"IN_LEAGUE",0.0571163259894624,0.0325550677104912,0.050790265547919,0.00133441556045895,0.00677147019363813,0.0422154884967412,0.0997530725336412,0.139903772142202,2.43401786222119,2.85975050996447
"PITCH_COUNT_CUMU",5.8599664172884e-05,0.00145695734741582,0.00321757102420137,-0.00986741985231242,-0.000721954276447027,-0.000214726804442119,0.00257616268248199,0.00372668349426699,4.87711064761883,1.05028519848867
"tau_b",0.970242566793686,0.138092837044636,0.25613522214916,0.779201714198293,0.797385406371956,0.839491060178104,1.07629024652118,1.56233395589989,3.44029991000674,1.64032247775164
"tau_o",1.81368157985319,0.00398603014472253,0.0110308814506124,1.7812021443478,1.80868233609752,1.81638628454394,1.82012759565113,1.82823324999111,7.65842170795433,1.03968001625927
"sigma",0.531300092976102,0.0221378808212127,0.0368564631034242,0.495729575555366,0.498001693155144,0.518682916346934,0.547101317184609,0.609716750084767,2.77175744177334,2.15678459930326
