k,c,t,alpha_line
4,1B,9,-0.44594378376711835
4,1B,10,-0.43774229534627146
4,1B,11,-0.42887977077817385
4,1B,12,-0.41951596468954533
4,1B,13,-0.4098106317071056
4,1B,14,-0.39992352645757423
4,1B,15,-0.3900144035676708
4,1B,16,-0.38024301766411506
4,1B,17,-0.37076912337362655
4,1B,18,-0.361752475322925
4,1B,19,-0.3533528281387298
4,1B,20,-0.34572993644776107
4,1B,21,-0.339043554876738
4,1B,22,-0.33345343805238054
4,1B,23,-0.32911934060140813
4,1B,24,-0.32620101715054045
4,1B,25,-0.3248582223264973
4,1B,26,-0.32525071075599804
4,1B,27,-0.32753823706576257
5,2B,1,-0.9497383935981627
5,2B,2,-0.9427895043200849
5,2B,3,-0.9352919804662938
5,2B,4,-0.927328696473263
5,2B,5,-0.9189825267774652
5,2B,6,-0.9103363458153736
5,2B,7,-0.9014730280234616
5,2B,8,-0.8924754478382021
5,2B,9,-0.8834264796960682
5,2B,10,-0.8744089980335331
5,2B,11,-0.8655058772870698
5,2B,12,-0.8567999918931518
5,2B,13,-0.8483742162882518
5,2B,14,-0.8403114249088431
5,2B,15,-0.8326944921913988
5,2B,16,-0.825606292572392
5,2B,17,-0.8191297004882959
5,2B,18,-0.8133475903755836
5,2B,19,-0.8083428366707283
5,2B,20,-0.8041983138102028
5,2B,21,-0.8009968962304805
5,2B,22,-0.7988214583680346
5,2B,23,-0.7977548746593381
5,2B,24,-0.7978800195408642
5,2B,25,-0.7992797674490857
5,2B,26,-0.8020369928204762
5,2B,27,-0.8062345700915085
6,3B,1,-1.5711473900386212
6,3B,2,-1.5038466541144093
6,3B,3,-1.4463210630274959
6,3B,4,-1.3977123280795398
6,3B,5,-1.3571621605721997
6,3B,6,-1.3238122718071348
6,3B,7,-1.2968043730860037
6,3B,8,-1.2752801757104653
6,3B,9,-1.2583813909821782
6,3B,10,-1.2452497302028014
6,3B,11,-1.2350269046739941
6,3B,12,-1.2268546256974147
6,3B,13,-1.2198746045747222
6,3B,14,-1.2132285526075757
6,3B,15,-1.2060581810976334
6,3B,16,-1.1975052013465546
6,3B,17,-1.1867113246559982
6,3B,18,-1.172818262327623
6,3B,19,-1.154967725663087
6,3B,20,-1.1323014259640505
6,3B,21,-1.1039610745321713
6,3B,22,-1.069088382669109
6,3B,23,-1.026825061676522
6,3B,24,-0.9763128228560685
6,3B,25,-0.9166933775094082
6,3B,26,-0.8471084369381998
6,3B,27,-0.766699712444102
7,HR,1,-0.4473344884564497
7,HR,2,-0.4793361047012602
7,HR,3,-0.5040793068836387
7,HR,4,-0.5220750703409662
7,HR,5,-0.5338343704106244
7,HR,6,-0.5398681824299948
7,HR,7,-0.5406874817364585
7,HR,8,-0.5368032436673971
7,HR,9,-0.5287264435601918
7,HR,10,-0.5169680567522243
7,HR,11,-0.5020390585808759
7,HR,12,-0.4844504243835278
7,HR,13,-0.4647131294975616
7,HR,14,-0.44333814926035864
7,HR,15,-0.4208364590093004
7,HR,16,-0.3977190340817682
7,HR,17,-0.3744968498151433
7,HR,18,-0.35168088154680754
7,HR,19,-0.3297821046141418
7,HR,20,-0.30931149435452787
7,HR,21,-0.2907800261053469
7,HR,22,-0.2746986752039807
7,HR,23,-0.26157841698781015
7,HR,24,-0.25193022679421695
7,HR,25,-0.2462650799605821
7,HR,26,-0.24509395182428761
7,HR,27,-0.24892781772271455
